tahun_pelaporan,semester,tahun,nama_program_studi,jenjang,status_prodi,akreditasi_prodi,nama_universitas,jumlah_mahasiswa,jumlah_dosen_penghitung_rasio,dosen_tetap,dosen_tidak_tetap,total_dosen,rasio_dosen_mahasiswa,nilai_rasio,kota,provinsi,kode_pt,fakultas,rumpun_ilmu
Ganjil 2024,Ganjil,2024,Agroteknologi,S1,Aktif,Baik Sekali,Universitas Siliwangi,587,37,18,0,18,1:15.86,15.86,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2024,Ganjil,2024,Agroteknologi,S2,Aktif,Baik,Universitas Siliwangi,27,8,5,2,7,1:3.38,3.38,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2024,Ganjil,2024,Akuntansi,S1,Aktif,Baik Sekali,Universitas Siliwangi,1303,28,25,1,26,1:46.54,46.54,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2024,Ganjil,2024,Ekonomi Pembangunan,S1,Aktif,Baik Sekali,Universitas Siliwangi,1262,32,22,1,23,1:39.44,39.44,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2024,Ganjil,2024,Ekonomi Syari'ah,S1,Aktif,B,Universitas Siliwangi,723,26,13,0,13,1:27.81,27.81,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2024,Ganjil,2024,Gizi,S1,Aktif,Baik Sekali,Universitas Siliwangi,539,19,15,0,15,1:28.37,28.37,Kota Tasikmalaya,Prov. Jawa Barat,002008,FIK,Sains
Ganjil 2024,Ganjil,2024,Ilmu Manajemen,S3,Aktif,Baik,Universitas Siliwangi,6,8,5,0,5,1:0.75,0.75,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2024,Ganjil,2024,Ilmu Pertanian,S3,Aktif,Terakreditasi Sementara,Universitas Siliwangi,3,8,5,0,5,1:0.38,0.38,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2024,Ganjil,2024,Ilmu Politik,S1,Aktif,B,Universitas Siliwangi,836,23,22,0,22,1:36.35,36.35,Kota Tasikmalaya,Prov. Jawa Barat,002008,FISIP,Sosial
Ganjil 2024,Ganjil,2024,Informatika,S1,Aktif,Baik Sekali,Universitas Siliwangi,840,28,22,2,24,1:30,30.0,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2024,Ganjil,2024,Kesehatan Masyarakat,S1,Aktif,Baik Sekali,Universitas Siliwangi,747,17,19,0,19,1:43.94,43.94,Kota Tasikmalaya,Prov. Jawa Barat,002008,FIK,Sains
Ganjil 2024,Ganjil,2024,Manajemen,S1,Aktif,Baik Sekali,Universitas Siliwangi,1688,35,30,0,30,1:48.23,48.23,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2024,Ganjil,2024,Manajemen,S2,Aktif,Baik Sekali,Universitas Siliwangi,193,10,6,1,7,1:19.3,19.3,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2024,Ganjil,2024,Manajemen Mutu Halal,S1,Aktif,Terakreditasi Sementara,Universitas Siliwangi,45,9,7,0,7,1:5,5.0,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan,S3,Aktif,Baik,Universitas Siliwangi,6,8,5,0,5,1:0.75,0.75,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan Bahasa Indonesia,S1,Aktif,Unggul,Universitas Siliwangi,754,20,15,2,17,1:37.7,37.7,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan Bahasa Inggris,S1,Aktif,Unggul,Universitas Siliwangi,812,26,23,0,23,1:31.23,31.23,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan Biologi,S1,Aktif,Unggul,Universitas Siliwangi,646,20,10,0,10,1:32.3,32.3,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
