id_universitas,id_prodi,id_waktu,jumlah_dosen_penghitung_rasio,dosen_tetap,dosen_tidak_tetap,total_dosen,jumlah_mahasiswa,rasio_dosen_mahasiswa,nilai_rasio
002008,60202,1,21,11,0,11,653,1:31.1,31.1
002008,13211,1,20,14,0,14,452,1:22.6,22.6
002008,61001,1,0,5,0,5,0,-,
002008,54001,1,0,5,0,5,0,-,
002008,67201,1,19,18,0,18,731,1:38.47,38.47
002008,55201,1,26,18,2,20,746,1:28.69,28.69
002008,13201,1,18,13,0,13,752,1:41.78,41.78
002008,61201,1,35,22,0,22,1564,1:44.69,44.69
002008,61101,1,10,7,0,7,222,1:22.2,22.2
002008,80206,1,0,5,0,5,0,-,
002008,86009,1,0,5,0,5,0,-,
002008,88201,1,20,15,0,15,684,1:34.2,34.2
002008,88203,1,23,21,0,21,813,1:35.35,35.35
002008,84205,1,22,9,0,9,634,1:28.82,28.82
002008,87203,1,17,13,0,13,626,1:36.82,36.82
002008,84203,1,16,12,0,12,451,1:28.19,28.19
002008,87102,1,7,5,0,5,32,1:4.57,4.57
002008,87202,1,16,9,0,9,590,1:36.88,36.88
002008,84101,1,9,5,0,5,25,1:2.78,2.78
002008,85103,1,0,5,0,5,0,-,
002008,85201,1,34,26,0,26,1167,1:34.32,34.32
002008,95102,1,0,0,0,0,0,-,
002008,86205,1,13,7,1,8,619,1:47.62,47.62
002008,84102,1,6,5,0,5,57,1:9.5,9.5
002008,84202,1,32,20,0,20,753,1:23.53,23.53
002008,86904,1,106,5,0,5,1327,1:12.52,12.52
002008,87201,1,12,8,0,8,584,1:48.67,48.67
002008,61406,1,20,15,3,18,525,1:26.25,26.25
002008,61318,1,0,0,0,0,0,-,
002008,49202,1,0,0,0,0,0,-,
002008,57201,1,13,7,1,8,142,1:10.92,10.92
002008,20201,1,21,11,2,13,413,1:19.67,19.67
002008,22201,1,20,18,1,19,529,1:26.45,26.45
002008,41223,1,16,4,0,4,29,1:1.81,1.81
